title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|Instagramhandle|tiktokhandle|othersociallinks|contactemailaddress
NotsoAmazon Softball League (NASL)|Recreational slow-pitch league primarily for lesbians, but inclusive of all LGBTQ+ individuals and allies.| |Sunnybrook Park, other parks in Toronto|League|Recreational/All levels|Typically May to August/September| |Check website (usually early Spring)|Season-long|Weekly slow-pitch softball games, playoffs, social events.|Varies (see website)|https://www.nasl.ca/|Approx 20-30 mins to Sunnybrook Park| |Yes|softball,lgbtq sports,league,lesbian,toronto|@notsoamazonsoftball| |https://www.facebook.com/NotsoAmazonSoftballLeague/|info@nasl.ca
Triangle Badminton Club Toronto|LGBTQ+ friendly badminton club.| |Various community centres and gyms in Toronto|Club|All levels|Year-round (check for specific session times)| |Drop-in or session registration (check website)|Varies per session|Casual and organized badminton play, social atmosphere.|Drop-in fee or session fee|https://trianglebadmintonclub.wordpress.com/ (or search for current active group)|Varies by location| |Yes|badminton,lgbtq sports,club,social,toronto| | | |triangleclubtoronto@gmail.com
Toronto LGBTQ+ Kickball|Casual, social kickball games for the LGBTQ+ community and allies.| |Various parks in Toronto (e.g., Trinity Bellwoods Park, Withrow Park)|Pick-up/Social|All levels|Seasonal (Spring/Summer/Fall, weather permitting)| |Often informal/RSVP via social groups|~2 hours per game|Fun, non-competitive kickball games, social interaction.|Free or small fee to cover equipment| (Often organized via Meetup or Facebook groups - search "Toronto LGBTQ Kickball")|Varies by park| |Yes|kickball,lgbtq sports,social,pickup,toronto| | | | (via social media groups)
Queer South Asian Women's Network (QSAW) Sports Meetups|Occasional sports and recreational activities for queer South Asian women and non-binary individuals.| |Various locations in Toronto|Social/Networking|All levels|Check social media for events| |RSVP if required|Varies per event|Activities like hiking, bowling, or other casual sports.|Varies (often free or low cost)| (Search QSAW Toronto on social media)|Varies| |Yes|south asian,lgbtq sports,social,networking,women,toronto| (Search QSAW Toronto)| | | (via social media)
Lesbian Outdoor Group (LOG)|Organizes outdoor activities for lesbians and queer women, including hiking, camping, and sometimes sports.| |Various locations in and around Toronto|Social/Outdoor Club|All levels|Year-round, activity dependent| |RSVP for events|Varies per event|Hiking, camping, kayaking, cycling, and other outdoor pursuits.|Varies (membership, event fees)|https://www.log.on.ca/ (or search for current active group)|Varies| |Yes|hiking,outdoors,lgbtq sports,social,lesbian,women,toronto| | |https://www.facebook.com/LOGToronto/|info@log.on.ca
Toronto Gay Curling League (TGCL)|LGBTQ+ curling league in Toronto.| |Various curling clubs in Toronto (e.g., Royal Canadian Curling Club)|League|All levels (instruction available)|Typically October to April| |Check website (usually late summer/early fall)|Season-long|Weekly curling games, bonspiels (tournaments), social events.|Varies (see website)|https://tgcl.ca/|Varies by club| |Yes|curling,lgbtq sports,league,winter sports,toronto|@torontogaycurling| |https://www.facebook.com/TorontoGayCurling|info@tgcl.ca
Toronto Dodgeball League - LGBTQ+ Division/Teams|Some general dodgeball leagues in Toronto may have specific LGBTQ+ friendly teams or divisions, or are generally inclusive.| |Various gyms in Toronto|League/Team|All levels|Seasonal (check specific leagues like Toronto Dodgeball or XTSC)| |Check league websites|Season-long|Dodgeball games and social events.|Varies per league| (Search "Toronto Dodgeball League" or "XTSC Sports" and inquire)|Varies by gym| |Likely Yes (inquire)|dodgeball,lgbtq sports,league,team,toronto| | | | (via league websites)
Toronto Queer Bike Rides / Cycling Groups|Informal groups organizing bike rides for the LGBTQ+ community.| |Various routes starting in Toronto|Social Cycling Group|All levels|Seasonal (Spring to Fall)| |Informal/RSVP via social groups|Varies per ride|Casual group bike rides, exploring city and trails, social focus.|Free| (Search "Toronto Queer Bike Ride" or "LGBTQ Cycling Toronto" on Facebook, Meetup)|Varies| |Yes|cycling,biking,lgbtq sports,social,toronto| | | | (via social media groups)
Out and Out Toronto|Toronto's LGBTQ+ club for outdoor activities, including hiking, cycling, skiing, canoeing, and more.| |Various locations in and around Toronto|Outdoor Club|All levels|Year-round| |Membership and event RSVP|Varies per activity|Wide range of outdoor activities and social events.|Membership fee + activity costs (if any)|https://www.outandouttoronto.org/|Varies| |Yes|outdoors,hiking,cycling,skiing,canoeing,lgbtq sports,social,toronto|@outandouttoronto| |https://www.facebook.com/OutandOutToronto/|info@outandouttoronto.org
The 519 Community Centre Sports Programs|The 519 often hosts or supports various LGBTQ+ sports and recreation programs. Check their current offerings.| |The 519 (519 Church St, Toronto) and other locations|Community Program|Varies|Check website| |Check website|Varies|Drop-in sports, registered programs, workshops.|Varies (many are free or low-cost)|https://www.the519.org/programs/categories/sports-recreation|Approx 0 mins (if starting at The 519)|https://goo.gl/maps/519ChurchSt|Yes|community,lgbtq sports,drop-in,recreation,toronto|@the519|@the519|https://www.facebook.com/The519/|info@the519.org
