title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|Instagramhandle|tiktokhandle|othersociallinks|contactemailaddress|lastUpdated
BULGES AND BOULDERS|An indoor climbing group open to all genders, orientations, and skill levels. This is a drop-in group. [3]|N/A|Meets every Tuesday at Rock Oasis and on the last Tuesday of each month at Joe. Rock Oasis is their home gym. [3, 19] Boulderz Climbing is also mentioned as a contact for Boulderz. [20]|Individual sport, drop-in|All skill levels. [3]|Year-round. [3]|Year-round|No sign-up required; this is a drop-in activity. [3]|Meets every Tuesday.|Indoor climbing.|Not specified, but likely day pass or membership fees for the climbing gyms.|https://boulderzclimbing.com/ (for Boulderz facilities). Instagram link provided for Bulges & Boulders. [19]|Rock Oasis: Approximately 15-20 minutes drive from downtown. Boulderz Junction: Approximately 15-20 minutes drive.|Rock Oasis: https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6; Boulderz Junction: https://maps.app.goo.gl/yJ7n5Y3J7r69421xV|Queer-inclusive (Open to all genders, orientations, and skill levels; a community of 2SLGBTQ+ and ally climbers). [3, 19]|Climbing, Queer, Allies, Drop-in, Indoor, Fitness, Inclusive|@bulgesandboulders [19]|N/A|N/A|toronto@boulderzclimbing.com (for Boulderz). [20]|May 31, 2025
QUEER CLIMBERS OF TORONTO|A climbing group for all queer and trans people. They climb year-round. [3]|N/A|Climbs on the last Sunday of the month. Basecamp (677 Bloor St. W, Toronto) is their home gym. [3, 21]|Individual sport, drop-in|Not specified.|Year-round. [3]|Year-round|Sign-up is at any time; it just needs to be before the climb happens. [3]|Climbs on the last Sunday of the month.|Members of the LGBTQ2S+ community meet and climb in a safe, inclusive space. The event is free with a membership or day pass. [22]|Free with a membership or day pass. [22]|Not specified for Toronto, but Queer Climbers Network website is https://www.queerclimbersnetwork.com/ [23]|Approximately 10-15 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (For all queer and trans people). [3]|Climbing, Queer, Trans, Drop-in, Inclusive, Fitness|@queerclimbto [21], @queerclimbersnetwork [23]|N/A|N/A|queerclimbersnetwork@gmail.com [23]|May 31, 2025
RIVERDALE CURLING LEAGUE|A curling league open to 2SLGBTQIA+ individuals and allies. [3]|N/A|Royal Canadian Curling Club, Toronto.|League|Not specified.|October. [3]|April. [3]|Generally occurs throughout the summer/early autumn months. [3]|Curling happens most Sundays between October and April. [3]|Information about the league, including sign-up, is available on their Facebook page, which requires acceptance into the group. [3]|Not specified.|N/A|Approximately 10-15 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-inclusive (Open to 2SLGBTQIA+ individuals and allies). [3]|Curling, Queer, Allies, League, Inclusive, Team Sport|N/A|N/A|Facebook page ('Riverdale & Rotators Curling Leagues'). [3]|N/A|May 31, 2025
CHAOTIC QUEER DODGEBALL|A dodgeball group where all queer people are welcome, with a prioritization for trans, non-binary, and queer women players. Allies are permitted only if necessary for a new queer player's comfort. Play is for fun, and scores are not tracked. [3]|N/A|Not specified in the provided information for Toronto. Toronto Dodgeball is mentioned as a contact. [24]|Drop-in|Recreational ("just for fun, with scores not tracked"). [3]|September. [3]|June. [3]|Sign-up is on a weekly basis; prospective players should sign up on Monday for play that Wednesday. [3]|Play is every Wednesday evening from September to June. [3]|Teams are created and posted a couple of hours before play. [3]|Not specified.|N/A|N/A (location not specific enough).|N/A|Queer-specific (Prioritizes trans, non-binary, and queer women players). [3]|Dodgeball, Queer, Trans, Non-binary, Women, Drop-in, Recreational, Inclusive|N/A|N/A|N/A|info@torontododgeball.com (for Toronto Dodgeball). [24]|May 31, 2025
DODGEBALL NATION|A women's dodgeball organization that welcomes cisgender, trans, and non-binary people. It offers three distinct leagues: coed recreational, coed intermediate, and women's all skill levels. [3]|N/A|Various locations across Toronto, including Central Toronto Academy (570 Shaw Street), Givins/Shaw Junior Public School (49 Givins Street), Montrose Junior Public School (301 Montrose Avenue), Orde Street Public School (18 Orde Street), Shirley Street Junior Public School (38 Shirley Street), St. Bruno Catholic School (402 Melita Crescent), and Three Dollar Bill (1592 Queen Street West). [25]|League|All skill levels, recreational, intermediate. [3]|Fall registration opens early August; winter/spring registration opens late November; summer registration opens early April. [3]|Not specified.|Early August for Fall, late November for Winter/Spring, early April for Summer. [3]|Not specified.|Leagues include Mondays coed recreational, Tuesdays coed intermediate, and Thursday women's all skill levels. [3]|Not specified.|N/A|Locations vary, generally within 15-25 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-inclusive (Cisgender, trans, and non-binary people are welcome). [3]|Dodgeball, Women, Trans, Non-binary, Cisgender, League, Recreational, Intermediate, Inclusive, Team Sport|N/A|N/A|N/A|dballnation@gmail.com [27]|May 31, 2025
PINK TURF SOCCER LEAGUE|The longest-running Canadian soccer league for the 2SLGBTQ+ community, established in 1985. It offers sliding-scale fees and payment plans, welcoming all skill levels. The league prioritizes 50% of its spots for BIPOC, trans, and non-binary players. Games are community-refereed and include weekly practices and social events. [1]|N/A|Withrow Park, in the east end of Toronto. [28]|Team sport, league|All skill levels are welcome and encouraged. [1]|The season typically starts on the first or second Saturday of May. [28]|The season concludes on the last Saturday of September. [28]|Registration for Summer 2025 is currently full, but a waitlist form is available. Players are considered fully registered once their fee is received. [28]|Games are 90 minutes long, played every Saturday (except Pride Weekend). [28]|Games are 11 versus 11 on a full-size field, officiated by accredited referees. Includes weekly practices, social events, and an end-of-season event. [1, 28]|Sliding-scale fees and payment plans are available. Specific fees are not explicitly stated, but a "standard rate" and "reduced rate" are offered. [1, 28]|https://www.pinkturfsoccer.com/ [1]|Approximately 15-20 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (Run by and for 2SLGBTQ+ players and allies; 50% priority spots for BIPOC, trans, and non-binary players). [1]|Soccer, 2SLGBTQ+, BIPOC, Trans, Non-binary, Recreational, League, Community, Inclusive, Team Sport|N/A|N/A|N/A|ptslrecsoccer@gmail.com [1]|May 31, 2025
TORONTO SPARTAN VOLLEYBALL LEAGUE (TSVL)|A volunteer-run, not-for-profit adult volleyball league that primarily serves the lesbian, gay, bi-sexual, trans, queer, and LGBTQ-friendly community in Toronto. It is recognized as the largest single-sport LGBTQQ2 league in Canada, providing a fun, social, and safe environment for play and connection. [2, 29]|N/A|Not specified in the provided information, but the contact address is 473 Church St., PO Box #232, Toronto, ON, M4Y 2C5. [30]|League|Not specified, but a recreational division is available for new and returning members. [31]|Not specified for the full season. The league participates in the Toronto Queer Sports Pride Party on June 13. [2]|Not specified.|The recreational division is currently open for new and returning members with a prorated fee. [31]|The recreational division has 10 weeks of play remaining. [31]|Recreational volleyball.|Prorated fee for the remaining 10 weeks of the recreational division. [31]|https://www.tsvl.org/ [29]|Church St. area: Approximately 5-10 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (Caters to lesbian, gay, bi-sexual, trans, queer, and LGBTQ-friendly communities). [2, 29]|Volleyball, Queer, Trans, LGBTQ+, League, Recreational, Inclusive, Team Sport|N/A|N/A|N/A|rec@tsvl.org (Recreational Division Coordinator). [31]|May 31, 2025
TORONTO TRIGGERFISH WATERPOLO|An active group of LGBTQ+ and allied individuals who play water polo in downtown Toronto. The club welcomes all players regardless of experience, skill level, or sexual orientation, though it is currently at capacity for new members without prior experience. Players with competitive experience are invited for a trial practice. [32, 33]|N/A|55 Harbord Street, Warren Stevens Building, Old Toronto, Ontario, M5S 1A5, Canada. Practices also held at UofT Athletic Centre. [32, 34]|Team sport|All skill levels are welcome, but new members without prior experience are currently waitlisted. Prior competitive experience is assessed during a trial practice. [33]|Not specified.|Not specified.|Not specified. Individuals with prior experience are encouraged to contact the club.|Not specified.|Coached water polo practices.|Annual fee of $495.00. The initiation fee is $0.00. Annual fees are prorated based on the start date. [33, 34]|https://www.triggerfishwaterpolo.ca/ [34]|Approximately 10-15 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (Serves Toronto's 2SLGBTQ+ and allied communities, including lesbian, gay, bisexual, transgender, transsexual, queer, questioning, intersex, pansexual, two-spirit, asexual, non-binary, and/or genderfluid individuals). [32]|Water Polo, LGBTQ+, Allies, Recreational, Competitive, Inclusive, Team Sport|N/A|N/A|N/A|info@triggerfishwaterpolo.ca [33]|May 31, 2025
XTSC (Extreme Toronto Sports Club)|Offers professional adult and youth sports league environments for recreational players. Provides officiated games and free end-of-season tournaments. Operates year-round. [35]|N/A|Various locations across Toronto, including Lamport Stadium for soccer. [36]|League|Recreational. [35]|Year-round. Spring soccer leagues are currently open, with Lamport Mondays Soccer starting May 5, 2025. [35, 36]|Year-round|Spring registrations are open. [35]|Offers year-long play.|Sports include Turf Soccer, Gym Soccer, Soccer Clinics, Court Volleyball, and Floor Hockey. Features officiated games, consistent game locations, a loyalty program, and free end-of-season tournaments. [35]|Advertises "lower prices." Specific costs are not provided; individuals should check the registration page. [35]|https://www.xtsc.ca/ [35]|Varies by location, e.g., Lamport Stadium (1155 King St W): Approximately 10-15 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Not explicitly stated as LGBTQ+ friendly, but rules emphasize maintaining a respectful environment for all participants and a zero-tolerance policy for discriminatory offenses. [37]|Soccer, Volleyball, Floor Hockey, Recreational, League, Social, Adult Sports, Youth Sports|N/A|N/A|N/A|N/A|May 31, 2025
University of Toronto Mississauga (UTM) Inclusive Recreation|The Recreation, Athletics & Wellness Centre (RAWC) at UTM is dedicated to providing inclusive recreation programs that promote physical activity and wellness for its diverse community. The goal is to create a safe and supportive environment. New programming is being introduced in Fall 2024. [38]|N/A|Recreation, Athletics & Wellness Centre (RAWC), University of Toronto Mississauga, 3359 Mississauga Rd, Mississauga, ON L5L 1C6. [38]|Various sports and fitness programs (Aquatics, Group Fitness, Sports, UTM Moves)|Various, with "Learn to Play" options available. [38]|Fall 2024 for new programming. Spring-Summer term hours are effective April 28 - August 31, 2025. [39]|Ongoing.|Not specified for individual programs, but individuals are advised to reserve spots. Camp UTM registration opens June 2, 2025. [40]|Varies by program (e.g., weekly classes, camps).|2SLGTBQ+ Solidarity Swim: Conducted in a visually isolated space with privacy measures and staff support. [38] Pride Pump, Rainbow Rhythm, Soul Sweat, Sitting Volleyball: Not offered in the Spring-Summer term. [38] BIPOC Drop-in Sports: Includes Basketball, Badminton, and Volleyball. [38] Pride Drop-in Sports: Includes Basketball, Badminton, and Volleyball. [38] UTM Camps (Summer 2025): Offers Mini-Sport, Racquet, Soccer, Basketball, Dance, Leadership, Forensics, Climate, French, and Chinese camps. Recreational swimming is offered daily in most camps. [41]|Not specified for most inclusive programs. UTM Camps range from $246-$700+. [41]|https://www.utm.utoronto.ca/athletics/inclusive-recreation [38]|Approximately 30-45 minutes drive from downtown; accessible by public transit (GO Transit, MiWay).|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Explicitly 2SLGTBQ+ inclusive (2SLGTBQ+ Solidarity Swim, Pride Pump, Pride Drop-in Sports). [38]|University, Inclusive, 2SLGTBQ+, BIPOC, Trans, Swimming, Basketball, Badminton, Volleyball, Camps, Fitness, Wellness, Drop-in, Team Sport, Individual Sport|N/A|N/A|YouTube. [39]|rawcwelcome@utoronto.ca (for Aquatics, Group Fitness, UTM Moves), utm.intramurals@utoronto.ca (for Sports). [38]|May 31, 2025
TORONTO LESBIAN AND GAY TENNIS ASSOCIATION (TLGTA)|A tennis association that is a member of the Gay and Lesbian Tennis Alliance (GLTA). It also provides a safe pickleball space for gay, lesbian, bisexual, trans, and queer individuals, as well as their allies. [42, 43]|N/A|Thorncliffe Park Tennis Club, Mayfair West, and NY Winter Tennis Club. [42]|League/Association|Not specified for tennis. For pickleball, new members must know the rules, how to keep score, and how to serve and return the ball. [44]|Not specified for tennis. The pickleball season runs from September 30 to August 31. [44]|Not specified for tennis. The pickleball season runs from September 30 to August 31. [44]|Not specified for tennis. The pickleball annual membership is valid from September 30 to August 31. [44]|Not specified.|Offers tennis and pickleball. Pickleball includes beginner coaching sessions. [45]|$40.00 initiation fee for tennis. [42] Pickleball annual membership is $20 + HST. [44] A pickleball guest fee is $15. [46]|https://tlgta.ca/ [42]|Varies by club location. Thorncliffe Park: Approximately 20-30 minutes drive from downtown. Mayfair West: Approximately 20-30 minutes drive.|N/A|Queer-specific (Serves gay, lesbian, bisexual, trans, and queer individuals and their allies). [42, 43]|Tennis, Pickleball, Lesbian, Gay, Bisexual, Trans, Queer, Allies, Inclusive, Individual Sport, Team Sport|N/A|N/A|N/A|tlgta@yahoo.ca [42]|May 31, 2025
QUEER PADDLE (Toronto Island SUP)|A stand-up paddleboard (SUP) experience celebrating the LGBTQ2SAI+ community. It involves paddling through the island's inner waterways, exploring yacht clubs, lookout points, and famous swimming spots. The program focuses on creating a safe and supportive environment for paddlers of all experience levels. Half of the proceeds from this activity are donated to Rainbow Railroad, a Canadian charitable organization assisting LGBTQ2SAI+ individuals escaping persecution. [47]|N/A|Toronto Islands (paddles start from headquarters and continue around the islands). The mailing address for the headquarters is 18 Elmer Avenue, Toronto, ON, M4L 3R7. [47]|Individual/Group activity, water sports|All experience levels. [47]|June. [47]|September. [47]|Not specified; walk-ins are welcome. [47]|2-hour paddle. [47]|Semi-guided paddle, opportunities to dress up and make noise, learning about the rich queer history of Toronto Islands. Equipment rental is available, or participants can bring their own. [47]|Not specified for Queer Paddle. General SUP/kayak rentals are $17.75/hour, $85.00 for 8 hours, or $90.00 for a full day. [48]|https://www.torontoislandsup.com/social-paddles.html [47]|Approximately 15-20 minutes drive to the ferry terminal from downtown, plus a 10-minute ferry ride. Accessible by TTC to the ferry.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (Celebrating LGBTQ2SAI+ community, supports Rainbow Railroad). [47]|Paddleboarding, Kayaking, LGBTQ+, Water Sports, Charity, Outdoor, Inclusive, Recreational|N/A|N/A|N/A|info@torontoislandsup.com [47]|May 31, 2025
QUEER PICKLEBALL CLUB|Provides a safe pickleball space for gay, lesbian, bisexual, trans, and queer individuals, as well as their allies. Offers beginner coaching sessions. [43, 45]|N/A|Christie Pits Hockey Rink, 777 Crawford St, Toronto, ON M6G 1R3 (for coaching sessions). Other locations include 70 Spruce St, 991 St. Clair Ave. W, and Jimmie Simpson Park (summer only, 872 Queen Street E). [44, 45]|Individual/Group sport, coaching, regular play|Beginner and Intermediate coaching is available. New members must be familiar with pickleball rules, scoring, and basic ball handling. [44, 45]|Coaching sessions are on Thursdays. The season runs from September 30 to August 31. [44, 45]|The season runs from September 30 to August 31. [44]|Sign-ups for reserved coaching spots open on Sundays at noon. An annual membership waiver is required. [44, 45]|Coaching sessions are 6:00 PM - 7:00 PM, followed by regular play from 7:00 PM - 9:00 PM. [45]|Includes reserved spots for coaching sessions and opportunities for regular play. Participants should bring their own paddle; balls and nets are provided. [44, 45]|$8 for reserved coaching spots. Private lessons are $80, semi-private lessons are $60 per person, and group lessons range from $30-$40 per person depending on group size. The annual membership fee is $20 + HST. A guest fee of $15 applies. [44, 45, 46]|https://queerpickleballclub.ca/ (for coaching). Toronto Gay Pickleball Association: https://www.tgpa.ca/ [43]|Christie Pits: Approximately 15-20 minutes drive from downtown; accessible by TTC. Jimmie Simpson Park: Approximately 15-20 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (A safe pickleball space for gay, lesbian, bisexual, trans, and queer individuals, as well as their allies). [43]|Pickleball, Queer, Trans, Allies, Coaching, Recreational, Inclusive, Individual Sport, Team Sport|N/A|N/A|N/A|info@torontopickleball@gmail.com [46]|May 31, 2025
FRONTRUNNERS TORONTO|A running group that welcomes everyone, regardless of running experience, from beginners to athletic runners. The group organizes regular fun runs followed by social hours and specifically offers Pride and Remembrance Training Runs. [49]|N/A|Cawthra Park, 519 Church Street, Toronto, ON M4Y 2E3. [49, 50]|Individual sport, social group|All levels, from beginner to athletic runner. [51]|Year-round. Pride and Remembrance Training Runs are organized every Saturday in May & June. [49]|Year-round|No registration is needed for the first run. An annual membership fee is required to become a member. [51]|Weekly runs: Tuesdays and Thursdays at 6:15 PM, and Saturdays at 9:00 AM. [51]|Offers runs of various distances (5 km, 10 km, 15 km or more), followed by a social hour at The Croissant Tree. [49]|The annual membership fee is $30.00. [49]|https://www.frontrunnerstoronto.ca/ [49]|Approximately 5-10 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (LGBTQ+ and allies). [49]|Running, Queer, Allies, Fitness, Social, Inclusive, Outdoor|N/A|N/A|Facebook. [52]|info@FrontRunnersToronto.ca [49]|May 31, 2025
TORONTO PURPLE FINS GENDER-FREE SWIM CLUB|A community that welcomes gender-diverse individuals into the pool, fostering a safe and inclusive space for personal and athletic development. It is a gender-free space for coached fitness swimming, serving two-spirit, trans, and gender non-conforming individuals aged 16 and older. Queer cis women are also welcome. The club supports swimmers across a range of abilities, from recreational to competitive, and offers a new development program called Rainbow Fins for those learning to swim. [53, 54, 55]|N/A|Toronto Metropolitan University RAC Pool, 50 Gould St, Toronto, ON M5B 2K3. [53]|Swim club, coached sessions|Caters to a wide variety of abilities and levels, from recreational to competitive swimmers. Includes a development program for beginners (Rainbow Fins). [54]|Practices weekly throughout the school year. The Rainbow Fins program started in the Fall semester. [54, 55]|Operates throughout the school year.|Not specified; individuals are advised to contact the club for current information on times and details. [53]|Weekly practices.|Provides coached fitness swimming, with a focus on technique, community building, and personal enjoyment. [53]|Not specified. City of Toronto pools offer various drop-in fees for swimming and aquatic fitness (e.g., $2.16-$15.33). [56]|https://www.torontopurplefins.com/ [53]|Approximately 5-10 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (Gender-free space, serving two-spirit, trans, gender non-conforming, and queer cis women). [53, 55]|Swimming, Queer, Trans, Non-binary, Two-Spirit, Gender-free, Fitness, Coaching, Inclusive, Water Sports, Recreational, Competitive|N/A|N/A|N/A|info@torontopurplefins.com [55]|May 31, 2025
