id|title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|matchingId
dt17|Rockwood Conservation|Limestone cliffs and caves|https://source.unsplash.com/random/?cliffs,caves|Rockwood Conservation Area, 161 Fall St, Rockwood, ON|Nature & Adventure|All levels|2025-04-01|2025-10-31|Not required|Full day|Cave exploration, hiking, mill ruins|Entry fee (~$7/person)|N/A|~1.5 hours driving|N/A|No (General event)|Caves,Hiking,History|2025-05-29T00:00:00Z|
dt18|Montreal City Break|Vibrant city exploration|https://source.unsplash.com/random/?montreal,city|Montreal, QC|Urban Exploration|All levels|2025-08-01|2025-08-04|Book accommodation in advance|Multi-day trip|City exploration, culture, nightlife|Accommodation, meals, activities|https://www.mtl.org/en|~5.5-6 hours driving or ~1 hour flying|N/A|Yes|City,Culture,Nightlife|2025-05-29T00:00:00Z|
dt19|Ottawa Weekend Getaway|Capital city exploration|https://source.unsplash.com/random/?ottawa,parliament|Ottawa, ON|Urban Exploration|All levels|2025-07-01|2025-07-03|Book accommodation in advance|Multi-day trip|Parliament Hill, museums, Rideau Canal|Accommodation, meals, activities|https://ottawatourism.ca/en|~4.5 hours driving|N/A|No (General event)|Capital,Museums,History|2025-05-29T00:00:00Z|
dt_winter_mountstlouis|Mount St. Louis Moonstone Winter Ski Day|Skiing snowboarding and snow tubing at Ontario premier winter resort|https://source.unsplash.com/random/?ski,winter|Mount St. Louis Moonstone, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing snowboarding snow tubing night skiing|Lift tickets equipment rental meals|https://www.mountstlouis.com|~2 hours driving|N/A|No (General event)|Winter,Skiing,Snowboarding,Family|2025-02-25T00:00:00Z|
dt_winter_arrowhead|Arrowhead Provincial Park Winter Day Trip|Ice skating trail through forest snowshoeing and frozen waterfalls|https://source.unsplash.com/random/?ice,skating,winter|Arrowhead Provincial Park, Huntsville, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Day use reservation required|Full day|Ice skating trail snowshoeing cross-country skiing frozen waterfalls|Park day use fee (~$21/vehicle)|https://www.ontarioparks.com/park/arrowhead|~2 hours driving|N/A|No (General event)|Winter,Ice Skating,Snowshoeing,Nature|2025-02-25T00:00:00Z|
dt_winter_gleneden|Glen Eden Ski & Snowboard|Local ski hill in Milton with skiing, snowboarding, and tubing. Family-friendly, under 1 hour from Toronto.|https://source.unsplash.com/random/?winter|Milton, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing, snowboarding, snow tubing, lessons|Lift tickets, equipment rental|https://www.gleneden.com|~45 min driving|N/A|No (General event)|Winter,Skiing,Snowboarding,Family,Local|2026-02-26T00:09:41Z|
dt_winter_snowvalley|Snow Valley Ski Resort|Barrie-area ski resort with varied terrain, snow tubing park, and night skiing.|https://source.unsplash.com/random/?winter|Barrie, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing, snowboarding, snow tubing, night skiing|Lift tickets, tubing pass, rental|https://www.snowvalley.ca|~1.5 hours driving|N/A|No (General event)|Winter,Skiing,Snowboarding,Tubing|2026-02-26T00:09:41Z|
dt_winter_dagmar|Dagmar Ski Resort|Uxbridge ski hill with runs for all levels and a friendly local vibe.|https://source.unsplash.com/random/?winter|Uxbridge, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing, snowboarding, lessons|Lift tickets, rental|https://www.skidagmar.com|~1 hour driving|N/A|No (General event)|Winter,Skiing,Snowboarding|2026-02-26T00:09:41Z|
dt_winter_lakeridge|Lakeridge Ski Resort|Durham Region ski and snowboard resort with tubing and terrain parks.|https://source.unsplash.com/random/?winter|Uxbridge, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing, snowboarding, snow tubing, terrain park|Lift tickets, tubing, rental|https://www.lakeridgeresort.com|~1 hour driving|N/A|No (General event)|Winter,Skiing,Snowboarding,Tubing|2026-02-26T00:09:41Z|
dt_winter_hockley|Hockley Valley Resort Winter|Ski resort and spa in the hills of Mono. Ski by day, spa and dining by evening.|https://source.unsplash.com/random/?winter|Mono, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing, snowboarding, spa, fine dining|Lift tickets, spa, dining|https://www.hockley.com|~1.5 hours driving|N/A|No (General event)|Winter,Skiing,Spa,Resort|2026-02-26T00:09:41Z|
dt_winter_sirsams|Sir Sam's Ski & Ride|Haliburton ski area with uncrowded runs and cottage-country atmosphere.|https://source.unsplash.com/random/?winter|Haliburton, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing, snowboarding, cross-country, snow tubing|Lift tickets, rental, meals|https://www.sirsams.com|~2.5 hours driving|N/A|No (General event)|Winter,Skiing,Snowboarding,Haliburton|2026-02-26T00:09:41Z|
dt_winter_pakenham|Mount Pakenham Ski Resort|Family-oriented ski hill in the Ottawa Valley with tubing and night skiing.|https://source.unsplash.com/random/?winter|Pakenham, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing, snowboarding, snow tubing, night skiing|Lift tickets, tubing, rental|https://www.mountpakenham.com|~4.5 hours driving|N/A|No (General event)|Winter,Skiing,Snowboarding,Tubing,Family|2026-02-26T00:09:41Z|
dt_winter_horseshoe|Horseshoe Resort Ski & Tubing|Barrie-area resort with skiing, snowboarding, and dedicated snow tubing park.|https://source.unsplash.com/random/?winter|Barrie, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skiing, snowboarding, snow tubing, trails|Lift tickets, tubing pass, rental|https://www.horseshoeresort.com|~1.5 hours driving|N/A|No (General event)|Winter,Skiing,Snowboarding,Tubing|2026-02-26T00:09:41Z|
dt_winter_icewine|Niagara Icewine Festival|Winter festival celebrating Ontario icewine with tastings, events, and ice bars in Niagara-on-the-Lake.|https://source.unsplash.com/random/?winter|Niagara-on-the-Lake, ON|Winter Cultural|All levels|2025-12-01|2025-03-31|Not required|Full day|Icewine tastings, ice bar, winter events|Tastings, events, meals|https://www.niagarawinefestival.com|~1.5 hours driving|N/A|No (General event)|Winter,Wine,Festival,Niagara|2026-02-26T00:09:41Z|
dt_winter_winterlude|Winterlude & Rideau Canal Skate|Ottawa winter festival. Skate the world-famous Rideau Canal and enjoy ice sculptures and events.|https://source.unsplash.com/random/?winter|Ottawa, ON|Winter Cultural|All levels|2025-12-01|2025-03-31|Not required|Full day|Canal skating, ice sculptures, winter festival|Free skating, events vary|https://www.ottawatourism.ca/winterlude|~4.5 hours driving|N/A|No (General event)|Winter,Skating,Festival,Ottawa|2026-02-26T00:09:41Z|
dt_winter_harbourfront|Harbourfront Natrel Rink|Outdoor skating rink on the Toronto waterfront with lake views and winter programming.|https://source.unsplash.com/random/?winter|Toronto, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Ice skating, winter events, waterfront|Free skate rental available|https://www.harbourfrontcentre.com|Local|N/A|No (General event)|Winter,Skating,Toronto,Free|2026-02-26T00:09:41Z|
dt_winter_nathanphillips|Nathan Phillips Square Skating|Iconic downtown Toronto rink at City Hall. Free skating with skyline views.|https://source.unsplash.com/random/?winter|Toronto, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Ice skating, photo ops, downtown|Free|https://www.toronto.ca|Local|N/A|No (General event)|Winter,Skating,Toronto,Free|2026-02-26T00:09:41Z|
dt_winter_bentway|The Bentway Skate Trail|Unique skating trail under the Gardiner in Toronto. Winter programming and events.|https://source.unsplash.com/random/?winter|Toronto, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Skate trail, winter events, urban|Free|https://thebentway.ca|Local|N/A|No (General event)|Winter,Skating,Toronto,Free|2026-02-26T00:09:41Z|
dt_winter_riverdale|Riverdale Park East Tobogganing|Popular Toronto hill for tobogganing with downtown views. Bring your own sled.|https://source.unsplash.com/random/?winter|Toronto, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Tobogganing, sledding, park|Free|https://www.toronto.ca|Local|N/A|No (General event)|Winter,Tobogganing,Toronto,Free,Family|2026-02-26T00:09:41Z|
dt_winter_icesimcoe|Lake Simcoe Ice Fishing|Ice fishing on Lake Simcoe for perch, whitefish, and lake trout. Huts and guides available.|https://source.unsplash.com/random/?winter|Lake Simcoe, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Ice fishing, winter huts, guides|Licence, hut rental or guide, gear|https://www.tourismbarrie.com|~1–1.5 hours driving|N/A|No (General event)|Winter,Ice Fishing,Lake Simcoe|2026-02-26T00:09:41Z|
dt_winter_algonquin_snowshoe|Algonquin Park Winter Snowshoe|Snowshoe the trails of Algonquin in winter. Visitor centre, groomed trails, and backcountry options.|https://source.unsplash.com/random/?winter|Algonquin Provincial Park, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Snowshoeing, winter trails, wildlife|Park permit, rental if needed|https://www.algonquinpark.on.ca|~3 hours driving|N/A|No (General event)|Winter,Snowshoeing,Nature,Algonquin|2026-02-26T00:09:41Z|
dt_winter_scandinave|Scandinave Spa Blue Mountain Winter|Outdoor Nordic spa with hot baths, cold plunges, and saunas in the snow at Blue Mountain.|https://source.unsplash.com/random/?winter|Blue Mountains, ON|Winter Wellness|All levels|2025-12-01|2025-03-31|Not required|Full day|Hot baths, cold plunge, sauna, silence|Spa pass, treatments optional|https://www.scandinave.com/blue-mountain|~2 hours driving|N/A|No (General event)|Winter,Spa,Wellness,Blue Mountain|2026-02-26T00:09:41Z|
dt_winter_dogsled|Haliburton Forest Dog Sledding|Dog sledding experiences through Haliburton Forest. Half-day and full-day tours.|https://source.unsplash.com/random/?winter|Haliburton, ON|Winter Adventure|All levels|2025-12-01|2025-03-31|Not required|Full day|Dog sledding, winter forest, tours|Tour fees vary|https://www.haliburtonforest.com|~2.5 hours driving|N/A|No (General event)|Winter,Dog Sledding,Adventure,Haliburton|2026-02-26T00:09:41Z|
dt_winter_cranberry|Cranberry Marsh Winter Experience|Bala-area cranberry operation with winter tours, snowshoeing, and seasonal events.|https://source.unsplash.com/random/?winter|Bala, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Cranberry marsh, snowshoeing, winter tours|Tours, activities vary|https://www.cranberry.ca|~2 hours driving|N/A|No (General event)|Winter,Muskoka,Nature,Tours|2026-02-26T00:09:41Z|
dt_winter_niagara_wine|Niagara Winter Wine Tour|Winter winery tours and tastings in Niagara. Cozy cellars and icewine focus.|https://source.unsplash.com/random/?winter|Niagara-on-the-Lake, ON|Winter Cultural|All levels|2025-12-01|2025-03-31|Not required|Full day|Winery tours, icewine, tastings|Tastings, lunch|https://www.niagarawinecountry.com|~1.5 hours driving|N/A|No (General event)|Winter,Wine,Niagara,Tastings|2026-02-26T00:09:41Z|
dt_winter_distillery|Distillery District Winter Village|Toronto Distillery District in winter: skating, lights, markets, and holiday atmosphere.|https://source.unsplash.com/random/?winter|Toronto, ON|Winter Cultural|All levels|2025-12-01|2025-03-31|Not required|Full day|Skating, lights, shopping, dining|Free to explore, skating and vendors vary|https://www.thedistillerydistrict.com|Local|N/A|No (General event)|Winter,Skating,Markets,Toronto|2026-02-26T00:09:41Z|
dt_winter_kortright|Kortright Centre Winter Trails|Vaughan conservation area with winter trails for snowshoeing and cross-country skiing.|https://source.unsplash.com/random/?winter|Vaughan, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Snowshoeing, cross-country skiing, trails|Admission, rental if needed|https://www.kortright.org|~45 min driving|N/A|No (General event)|Winter,Snowshoeing,Skiing,Trails|2026-02-26T00:09:41Z|
dt_winter_terracotta|Terra Cotta Conservation Winter|Halton conservation area with winter hiking and snowshoe trails near Georgetown.|https://source.unsplash.com/random/?winter|Halton Hills, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Winter hiking, snowshoeing, trails|Parking or permit|https://www.conservationhalton.ca|~1 hour driving|N/A|No (General event)|Winter,Hiking,Snowshoeing,Nature|2026-02-26T00:09:41Z|
dt_winter_forks|Forks of the Credit Winter|Scenic Caledon area with winter hiking and snow-covered landscapes along the Credit River.|https://source.unsplash.com/random/?winter|Caledon, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Winter hiking, scenery, photography|Parking|https://www.creditvalleyca.ca|~1 hour driving|N/A|No (General event)|Winter,Hiking,Nature,Caledon|2026-02-26T00:09:41Z|
dt_winter_elora|Elora Gorge Winter Hiking|Winter trails at Elora Gorge Conservation Area. Frozen scenery and quiet trails.|https://source.unsplash.com/random/?winter|Elora, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Winter hiking, gorge views, trails|Park admission|https://www.grandriver.ca|~1.5 hours driving|N/A|No (General event)|Winter,Hiking,Elora,Nature|2026-02-26T00:09:41Z|
dt_winter_crawford|Crawford Lake Winter|Winter programming and trails at Crawford Lake. Iroquoian village and meromictic lake in snow.|https://source.unsplash.com/random/?winter|Milton, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Winter trails, Indigenous heritage, lake|Admission|https://www.conservationhalton.ca|~1 hour driving|N/A|No (General event)|Winter,Hiking,History,Milton|2026-02-26T00:09:41Z|
dt_winter_sleigh|Sleigh Ride at Chudleigh's|Horse-drawn sleigh rides at Chudleigh's farm in Milton. Winter farm experience and apple treats.|https://source.unsplash.com/random/?winter|Milton, ON|Winter Cultural|All levels|2025-12-01|2025-03-31|Not required|Full day|Sleigh ride, farm, winter experience|Sleigh ride fee|https://www.chudleighs.com|~45 min driving|N/A|No (General event)|Winter,Sleigh Ride,Family,Milton|2026-02-26T00:09:41Z|
dt_winter_curling|Curling Experience in Toronto|Try curling at a Toronto-area club. Learn-to-curl sessions and bonspiels in winter.|https://source.unsplash.com/random/?winter|Toronto, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Curling, learn to curl, winter sport|Session fees vary|https://www.curling.ca|Local|N/A|No (General event)|Winter,Curling,Sports,Toronto|2026-02-26T00:09:41Z|
dt_winter_pelee|Winter Birding at Point Pelee|Winter birding at Canada's southernmost point. Eagles, waterfowl, and quiet trails.|https://source.unsplash.com/random/?winter|Leamington, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Birding, winter wildlife, trails|Park entry|https://www.pc.gc.ca/en/pn-np/on/pelee|~3.5 hours driving|N/A|No (General event)|Winter,Birding,Nature,Point Pelee|2026-02-26T00:09:41Z|
dt_winter_earlbales|Tobogganing at Earl Bales Park|Popular North York toboggan hill at Earl Bales Park. Free and family-friendly.|https://source.unsplash.com/random/?winter|Toronto, ON|Winter Sports|All levels|2025-12-01|2025-03-31|Not required|Full day|Tobogganing, sledding, park|Free|https://www.toronto.ca|Local|N/A|No (General event)|Winter,Tobogganing,Toronto,Free,Family|2026-02-26T00:09:41Z|
dt_winter_rouge|Snowshoeing at Rouge Park|Canada's largest urban park in winter. Snowshoe and winter trails near Toronto.|https://source.unsplash.com/random/?winter|Toronto, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Snowshoeing, winter trails, urban park|Free|https://www.pc.gc.ca/en/pn-np/on/rouge|Local to ~30 min|N/A|No (General event)|Winter,Snowshoeing,Toronto,Rouge Park,Free|2026-02-26T00:09:41Z|
dt_winter_niagarafalls|Niagara Falls Winter Experience|Niagara Falls in winter: frozen mist, winter lights, and fewer crowds. Clifton Hill and attractions open.|https://source.unsplash.com/random/?winter|Niagara Falls, ON|Winter Cultural|All levels|2025-12-01|2025-03-31|Not required|Full day|Winter falls viewing, lights, Clifton Hill|Free to view falls, attractions vary|https://www.niagarafallstourism.com|~1.5 hours driving|N/A|No (General event)|Winter,Niagara Falls,Family,Viewing|2026-02-26T00:09:41Z|
dt_winter_mountsberg|Mountsberg Winter & Maple Syrup|Halton conservation area with winter programs, raptor centre, and early maple syrup season in late winter.|https://source.unsplash.com/random/?winter|Campbellville, ON|Winter Nature|All levels|2025-12-01|2025-03-31|Not required|Full day|Winter trails, raptors, maple syrup, family programs|Admission|https://www.conservationhalton.ca|~1 hour driving|N/A|No (General event)|Winter,Maple Syrup,Family,Nature|2026-02-26T00:09:41Z|
dt_spa_thermea|Thermea Spa Village Whitby|Nordic-style thermal spa with hot and cold baths, saunas, Aufguss ceremonies, and relaxation areas. Closest major thermal spa to Toronto.|https://source.unsplash.com/random/?spa|Whitby, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Thermal baths, saunas, cold plunge, steam, rest areas|Day pass ~$70+|https://thermea.com/whitby|~45 min driving|N/A|Yes|Spa,Thermal Baths,Sauna,Wellness,Year-round,LGBTQ Friendly|2026-02-26T00:16:25Z|
dt_spa_southwestern|South-Western Bathhouse|Russian banya, Turkish hammam, and Finnish sauna under one roof. Cold plunge, tea room, full bar, venik massage. Gender-specific and co-ed sessions. Sister location in Richmond Hill.|https://source.unsplash.com/random/?spa|Mississauga / Richmond Hill, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Russian banya, hammam, Finnish sauna, cold plunge, tea room|Adults ~$65, children ~$30|https://banya.ca|~30-45 min driving|N/A|Yes|Spa,Russian Bath,Hammam,Sauna,Wellness,Year-round,LGBTQ Friendly|2026-02-26T00:16:25Z|
dt_spa_vladimirskie|Vladimirskie Bani|Russian banya and Turkish steam rooms, infrared saunas, hot tubs. Women's, men's, and family days. Vaughan location.|https://source.unsplash.com/random/?spa|Vaughan, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Russian banya, Turkish steam, infrared sauna, hot tubs|~$40, 4-hour limit|https://vladimirskiebani.com|~45 min driving|N/A|Yes|Spa,Russian Bath,Hammam,Sauna,Wellness,Year-round|2026-02-26T00:16:25Z|
dt_spa_hammam_cela|Hammam Spa by Céla|Turkish hammam experience in Toronto: steam, exfoliation, and traditional treatments in a serene setting.|https://source.unsplash.com/random/?spa|Toronto, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Hammam, steam, body treatments, relaxation|Treatments vary|https://www.celaspa.com|Local|N/A|Yes|Spa,Hammam,Wellness,Toronto,Year-round,LGBTQ Friendly|2026-02-26T00:16:25Z|
dt_spa_miraj|Miraj Hammam Spa|Traditional hammam and spa in Toronto. Steam, black soap, and ritual treatments.|https://source.unsplash.com/random/?spa|Toronto, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Hammam, steam, body rituals, relaxation|Treatments vary|https://www.mirajhammam.com|Local|N/A|Yes|Spa,Hammam,Wellness,Toronto,Year-round|2026-02-26T00:16:25Z|
dt_spa_elmwood|Elmwood Spa|Downtown Toronto spa with sauna, steam, pool, and full treatment menu. Rooftop terrace and quiet lounges.|https://source.unsplash.com/random/?spa|Toronto, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Sauna, steam, pool, treatments, rooftop|Day pass and treatments vary|https://www.elmwoodspa.com|Local|N/A|Yes|Spa,Sauna,Wellness,Toronto,Year-round,LGBTQ Friendly|2026-02-26T00:16:25Z|
dt_spa_bodyblitz|Body Blitz Spa|Women-only water circuit: hot pool, cold plunge, eucalyptus steam, and sauna. West-end Toronto.|https://source.unsplash.com/random/?spa|Toronto, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Water circuit, steam, sauna, cold plunge|Day pass varies|https://www.bodyblitzspa.com|Local|N/A|Yes|Spa,Thermal,Wellness,Toronto,Year-round,Women|2026-02-26T00:16:25Z|
dt_spa_vetta|Vetta Nordic Spa|Nordic spa with thermal pools, saunas, and cold plunges. Outdoor relaxation near Muskoka.|https://source.unsplash.com/random/?spa|Haliburton area, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Thermal pools, saunas, cold plunge, outdoor relaxation|Day pass and treatments vary|https://www.vettanordicspa.com|~2+ hours driving|N/A|Yes|Spa,Thermal,Sauna,Wellness,Year-round,Winter|2026-02-26T00:16:25Z|
dt_spa_stannes|St. Anne's Spa|Full-service spa and inn with thermal pools, outdoor hot tubs, and treatments. Country setting near Grafton.|https://source.unsplash.com/random/?spa|Grafton, ON|Spa & Wellness|All levels|2025-01-01|2025-12-31|Book in advance|Full day|Thermal pools, hot tubs, treatments, dining|Day visit and packages vary|https://www.stannes.ca|~1.5 hours driving|N/A|Yes|Spa,Thermal,Wellness,Year-round,LGBTQ Friendly|2026-02-26T00:16:25Z|
